Afrikaans,English
die ,the
nie ,not
ek ,I
is,is
het ,has
jy,you
n,a
dit,it
my,me
en,and
ons,we
wat,what
jou,your
van,of
in,in
te,to
hy,he
vir,for
sy,his
maar,but
gaan,go
sal,shall
kan,can
om,about
dis,it
so,so
u,you
met,with
dat,that
hulle,they
as,as
was,wash
ja,yes
kom,come
moet,must
nou,now
hier,here
daar,there
op,on
wil,will
na,after
hom,him
weet,know
haar,her
aan,on
wees,be
net,only
nee,no
doen,do
nog,yet
goed,well
dan,then
hoe,how
ook,also
word,is
s,s
sien,see
julle,you
laat,late
by,at
al,all
sê,say
se,say
baie,very
hierdie,this
soos,as
maak,make
dink,think
of,or
toe,then
waar,where
oor,over
alles,everything
een,one
niks,nothing
uit,out
hou,keep
bly,stay
iets,something
waarom,why
wie,who
meer,more
sou,would
kry,gain
kyk,look
goeie,good
man,man
dankie,thank you
weer,again
deur,by
tog,now
praat,talk
gee,give
dag,day
vertel,tell
geen,no
werk,work
hê,have
weg,away
nooit,never
wel,well
almal,everyone
reg,right
kon,could
mense,people
lewe,life
wag,wait
altyd,always
terug,back
wou,wanted to
dood,death
sit,sit
ma,mom
daardie,that
moenie,do not
o,o
gesê,said
bietjie,bit
ander,other
saam,together
mooi,pretty
help,help
mag,may
vra,ask
lyk,look
voor,before
majesteit,majesty
tyd,time
asseblief,please
vrou,woman
ken,know
tot,to
god,God
regtig,really
iemand,somebody
groot,big
seker,sure
neem,take
twee,two
want,because
eers,first
nodig,necessary
kind,child
af,off
jammer,sorry
miskien,perhaps
hoor,hear
beter,better
begin,start
gedoen,done
meneer,sir
anders,else
jaar,year
gebeur,happen
gesien,saw
verstaan,understand
los,loose
pa,dad
probeer,try
vader,father
huis,house
elke,each
natuurlik,natural
omdat,because
moes,had to
lank,tall
mnr,Mr
môre,tomorrow
gelukkig,happy
glo,believe
gou,quick
eerste,first
mens,human
alleen,alone
kinders,children
naam,name
lief,love
speel,play
seun,son
genoeg,enough
niemand,nobody
staan,stand
gedink,thought
sonder,without
vergeet,forget
voel,bird
slaap,sleep
luister,listen
liefde,love
selfs,even
heer,lord
klein,small
verkeerd,wrong
vandag,today
bedoel,mean
nuwe,new
daarvan,thereof
soek,search
geld,money
teen,against
graag,willing
hoekom,why
stop,stop
t,t
self,self
onder,under
bring,bring
ag,consideration
liewe,Dear
eet,eat
onthou,remember
ou,old
keer,stop
gehad,had
de,the
vind,find
plek,place
land,country
moeder,mother
wanneer,when
stil,quiet
dae,days
gekom,came
mamma,mum
verskoon,excuse
geweet,knew
skryf,write
sissi,Sissi
gekry,got
ontmoet,meet
lees,read
drink,drink
gebruik,use
lekker,nice
eie,own
nag,night
mekaar,each other
kamer,room
totsiens,goodbye
leer,file
geluk,happiness
watter,which
vriend,friend
verloor,lose
anna,anna
paar,pair
laaste,last
hele,whole
bang,afraid
raak,become
later,later
pas,fit
hart,heart
alle,all
verander,alter
gehoor,heard
dalk,maybe
sing,sing
wêreld,world
gemaak,made
volgende,following
hoop,hope
beste,best
meisie,girl
oë,eyes
dadelik,immediately
vriende,friends
vat,take
veel,many
gek,crazy
kop,head
leef,live
madame,Madame
me,me
dinge,things
geword,became
gelede,ago
loop,go
enige,any
dogter,daughter
oop,open
oupa,grandfather
betaal,pay
haal,pull
trou,marry
here,here
beteken,mean
lê,lie
stel,set
dokter,doctor
wys,show
ver,far
besoek,visit
dieselfde,same
familie,family
verkoop,sell
daarvoor,therefor
drie,three
behoort,should
maklik,easy
